link_id,h_order
"392601","4"
"395555","1"
"520918","1"
"472497","2"
"489027","3"
"514289","4"
"404092","3"
"425073","4"
"415441","1"
"385633","4"
"449791","2"
"500786","1"
"462467","1"
"451651","3"
"391965","2"
"365397","1"
"536450","1"
"550146","1"
"489208","1"
"488842","1"
"487624","5"
"494295","2"
"491559","1"
"494655","2"
"511490","1"
"519127","4"
"471383","3"
"469751","3"
"375256","1"
"536104","6"
"470587","3"
"458339","1"
"532659","1"
"477753","2"
"484497","2"
"487628","5"
"495599","4"
"504420","2"
"521098","1"
"446301","2"
"464302","1"
"477096","1"
"535153","1"
"407655","1"
"523128","2"
"539376","1"
"464003","2"
"463256","2"
"357192","2"
"383776","3"
"388435","1"
"487632","5"
"524922","1"
"520486","1"
"524536","6"
"469740","4"
"474712","3"
"458335","2"
"436864","4"
"404109","3"
"472507","1"
"504570","3"
"516001","1"
"424261","2"
"379736","1"
"410135","2"
"453611","2"
"502894","1"
"541859","1"
"482767","1"
"536452","1"
"370047","1"
"537218","1"
"482238","1"
"513468","4"
"444890","3"
"445062","2"
"445190","4"
"444237","1"
"444236","2"
"444238","2"
"444507","1"
"444653","5"
"513998","1"
"444125","1"
"513999","1"
"443294","2"
"513992","1"
"513994","2"
"442508","1"
"442036","1"
"442231","1"
"487820","4"
"402519","1"
"388966","1"
"536095","6"
"524548","6"
"416915","2"
"441859","3"
"459075","1"
"471214","2"
"448897","1"
"448896","1"
"447635","2"
"448291","1"
"446910","2"
"447092","2"
"447350","2"
"446593","2"
"446595","2"
"446594","2"
"446303","1"
"446447","1"
"479066","2"
"445884","1"
"445208","4"
"445203","4"
"445213","4"
"514278","2"
"514276","2"
"445352","1"
"514282","2"
"453303","1"
"452661","1"
"452967","1"
"451298","1"
"450489","2"
"450608","1"
"450189","1"
"450190","1"
"449494","3"
"449626","1"
"449793","2"
"449200","1"
"457911","1"
"457914","1"
"457912","1"
"458334","1"
"458332","1"
"458338","1"
"457466","1"
"457616","3"
"457601","2"
"457606","3"
"457766","1"
"456583","2"
"456859","1"
"457152","1"
"455462","2"
"455626","2"
"455624","1"
"455631","1"
"455741","1"
"455930","3"
"455081","4"
"455093","4"
"455306","3"
"455305","1"
"455310","1"
"454496","1"
"454792","1"
"454799","1"
"454908","1"
"453937","2"
"454086","2"
"462468","1"
"462689","1"
"462695","1"
"462692","2"
"462880","1"
"462048","1"
"462047","1"
"462301","1"
"462308","1"
"461679","1"
"461835","2"
"461828","3"
"461839","1"
"461266","1"
"461400","2"
"461535","1"
"460342","1"
"460646","3"
"460798","1"
"460036","2"
"460184","1"
"460192","1"
"460187","2"
"460197","3"
"460194","1"
"458955","1"
"458959","1"
"458958","1"
"459082","3"
"459283","2"
"459290","4"
"459285","2"
"459293","4"
"458624","2"
"458791","1"
"467465","5"
"467763","3"
"467761","3"
"467767","3"
"467765","3"
"467772","2"
"468004","1"
"466800","2"
"466805","1"
"466802","1"
"466809","1"
"466806","1"
"466297","2"
"466299","2"
"466456","3"
"466462","1"
"465640","1"
"465984","1"
"466152","1"
"466146","4"
"465168","6"
"465156","6"
"465416","2"
"465236","1"
"464588","1"
"464593","1"
"464767","1"
"464774","2"
"465141","6"
"465136","1"
"463555","1"
"464167","1"
"464166","2"
"464172","1"
"464448","2"
"464444","1"
"463254","2"
"463422","1"
"463418","1"
"463428","1"
"463425","2"
"471683","1"
"471675","1"
"471840","1"
"472009","1"
"472011","1"
"353606","1"
"472153","2"
"472158","1"
"472156","1"
"352789","1"
"471379","3"
"471371","2"
"471382","3"
"471381","3"
"471384","3"
"471531","1"
"471540","2"
"471536","1"
"470772","1"
"470910","2"
"470914","2"
"470912","2"
"471065","1"
"471066","1"
"471219","1"
"470200","2"
"470438","2"
"470584","3"
"470596","2"
"470593","1"
"470598","1"
"352256","2"
"470763","1"
"470758","4"
"469598","1"
"469752","3"
"469749","3"
"469756","3"
"470014","2"
"470018","1"
"469344","2"
"469350","2"
"469473","2"
"469593","1"
"468675","1"
"468846","1"
"469032","1"
"469038","1"
"469216","1"
"469215","2"
"468010","1"
"468008","1"
"468173","1"
"468170","1"
"468174","1"
"468496","1"
"476314","2"
"476312","2"
"476318","1"
"476609","1"
"475336","1"
"475473","4"
"475467","4"
"475489","4"
"475632","3"
"356465","1"
"475830","1"
"475826","1"
"476076","2"
"474984","1"
"475001","2"
"474998","2"
"475167","1"
"475173","2"
"475334","1"
"474253","2"
"474266","2"
"474259","2"
"474424","1"
"474423","1"
"474101","2"
"355569","3"
"474103","1"
"473415","1"
"473417","3"
"473416","3"
"473420","3"
"473419","3"
"473615","1"
"473614","1"
"473619","1"
"472996","1"
"472989","1"
"473143","1"
"472338","1"
"472336","1"
"353966","1"
"472505","2"
"472508","1"
"472506","1"
"472675","1"
"472676","1"
"472839","3"
"480614","1"
"480608","2"
"360724","1"
"480726","1"
"480725","1"
"480730","2"
"480916","1"
"480917","1"
"360283","5"
"480135","2"
"360290","5"
"480138","1"
"480274","3"
"480273","2"
"480280","3"
"479497","2"
"479493","1"
"479500","1"
"479668","1"
"479662","1"
"479673","3"
"479670","3"
"479679","1"
"479065","2"
"479061","1"
"357916","1"
"477987","1"
"477990","2"
"478149","1"
"478311","2"
"478156","1"
"478312","2"
"477262","1"
"477387","1"
"357761","1"
"477596","2"
"477752","2"
"477750","2"
"477758","2"
"476769","1"
"357193","2"
"477103","1"
"477099","2"
"477256","2"
"477255","2"
"477261","1"
"477259","2"
"486008","1"
"364699","1"
"486284","1"
"364832","3"
"364824","3"
"486562","2"
"485273","1"
"485458","1"
"485456","2"
"485596","1"
"485779","1"
"363640","1"
"484668","1"
"484962","2"
"485107","3"
"485268","1"
"485266","1"
"484045","2"
"484228","2"
"484226","1"
"484361","1"
"484360","1"
"484368","1"
"483297","1"
"483494","1"
"482397","1"
"482411","4"
"482408","4"
"482561","1"
"482420","4"
"362188","1"
"482563","1"
"483113","3"
"481600","2"
"361665","1"
"481737","2"
"482064","1"
"482073","2"
"481098","1"
"481271","1"
"481273","1"
"481443","1"
"361453","1"
"492412","1"
"492408","1"
"492410","2"
"510801","1"
"492744","1"
"492115","1"
"492280","2"
"492274","4"
"492407","1"
"491405","1"
"491558","2"
"491549","2"
"490466","1"
"367299","1"
"490668","1"
"490824","3"
"490819","3"
"490980","1"
"491090","1"
"491239","1"
"489832","3"
"489841","2"
"366906","1"
"490172","1"
"488542","1"
"488838","1"
"488837","1"
"366261","1"
"366259","1"
"366260","2"
"488846","1"
"489022","2"
"492959","4"
"489384","2"
"366572","4"
"489539","1"
"489397","1"
"487818","4"
"487804","2"
"487822","4"
"487989","1"
"487999","3"
"487993","2"
"517077","2"
"487453","1"
"487598","5"
"487584","3"
"487606","5"
"487603","5"
"487612","5"
"365401","1"
"487607","5"
"487638","5"
"365568","3"
"487630","5"
"365566","1"
"487654","2"
"487800","1"
"365573","3"
"498649","1"
"370954","1"
"499046","1"
"499221","1"
"499226","1"
"499223","1"
"428455","2"
"497723","3"
"370571","2"
"370570","1"
"370576","2"
"498191","1"
"498337","1"
"497232","2"
"497224","3"
"497364","1"
"497390","3"
"497383","3"
"497393","1"
"497539","3"
"497544","1"
"497542","1"
"370423","1"
"497721","3"
"497712","1"
